iter	Passed	Remaining
0	5	5728
1	9	4686
2	15	5284
3	21	5303
4	26	5289
5	32	5436
6	38	5442
7	42	5315
8	48	5288
9	53	5342
10	59	5371
11	65	5395
12	70	5383
13	76	5368
14	82	5391
15	87	5371
16	92	5364
17	98	5353
18	103	5367
19	109	5373
20	115	5369
21	120	5348
22	126	5363
23	131	5346
24	136	5328
25	141	5316
26	147	5298
27	152	5279
28	157	5271
29	162	5261
30	167	5246
31	172	5227
32	177	5188
33	182	5185
34	187	5168
35	193	5172
36	198	5170
37	202	5125
38	207	5124
39	213	5116
40	218	5101
41	223	5097
42	228	5091
43	233	5081
44	239	5079
45	244	5071
46	250	5072
47	254	5053
48	259	5046
49	265	5037
50	270	5030
51	275	5020
52	279	4989
53	284	4992
54	290	4986
55	295	4983
56	300	4978
57	306	4972
58	311	4962
59	316	4953
60	321	4953
61	327	4950
62	332	4951
63	338	4951
64	343	4939
65	348	4933
66	354	4937
67	360	4937
68	366	4946
69	372	4948
70	377	4945
71	384	4953
72	390	4953
73	395	4950
74	402	4959
75	408	4962
76	414	4974
77	418	4943
78	424	4946
79	430	4952
80	434	4928
81	439	4923
82	446	4929
83	451	4927
84	457	4924
85	463	4926
86	469	4923
87	475	4924
88	480	4915
89	485	4912
90	491	4905
91	495	4889
92	500	4882
93	505	4872
94	510	4867
95	515	4855
96	520	4841
97	525	4836
98	531	4837
99	536	4830
100	542	4825
101	547	4816
102	552	4808
103	557	4802
104	562	4794
105	567	4787
106	572	4781
107	577	4772
108	583	4767
109	586	4743
110	590	4729
111	596	4726
112	601	4724
113	607	4722
114	612	4713
115	617	4705
116	622	4700
117	627	4692
118	632	4685
119	638	4679
120	643	4673
121	648	4665
122	652	4654
123	658	4652
124	663	4645
125	669	4643
126	674	4637
127	679	4631
128	685	4626
129	690	4623
130	693	4603
131	699	4597
132	704	4592
133	709	4586
134	715	4581
135	720	4578
136	725	4570
137	729	4555
138	734	4551
139	739	4544
140	744	4533
141	747	4517
142	753	4512
143	757	4505
144	763	4499
145	767	4488
146	772	4481
147	777	4473
148	782	4471
149	787	4465
150	793	4461
151	798	4456
152	804	4452
153	809	4446
154	814	4441
155	819	4435
156	824	4428
157	829	4422
158	835	4417
159	839	4407
160	844	4399
161	848	4391
162	856	4398
163	861	4391
164	869	4398
165	875	4396
166	881	4395
167	889	4405
168	896	4406
169	900	4394
170	906	4393
171	912	4392
172	920	4402
173	929	4411
174	936	4415
175	942	4413
176	947	4406
177	953	4403
178	959	4402
179	966	4401
180	971	4397
181	977	4395
182	983	4392
183	989	4389
184	996	4388
185	1003	4391
186	1009	4387
187	1015	4384
188	1021	4381
189	1026	4376
190	1032	4372
191	1037	4365
192	1040	4352
193	1045	4344
194	1050	4338
195	1056	4332
196	1062	4330
197	1069	4331
198	1076	4332
199	1081	4326
200	1087	4321
201	1093	4319
202	1099	4316
203	1104	4311
204	1111	4311
205	1117	4305
206	1122	4301
207	1128	4296
208	1133	4290
209	1139	4285
210	1144	4279
211	1150	4274
212	1155	4270
213	1161	4266
214	1167	4262
215	1174	4261
216	1179	4257
217	1185	4252
218	1190	4245
219	1195	4239
220	1201	4234
221	1206	4229
222	1212	4223
223	1216	4214
224	1222	4209
225	1227	4203
226	1232	4196
227	1238	4192
228	1243	4187
229	1249	4182
230	1253	4173
231	1258	4167
232	1264	4162
233	1270	4157
234	1275	4153
235	1279	4141
236	1284	4136
237	1290	4131
238	1295	4124
239	1301	4120
240	1306	4115
241	1312	4109
242	1318	4106
243	1325	4105
244	1331	4102
245	1337	4098
246	1341	4088
247	1345	4079
248	1351	4076
249	1357	4072
250	1363	4068
251	1369	4064
252	1375	4059
253	1381	4056
254	1386	4050
255	1392	4045
256	1398	4044
257	1404	4039
258	1410	4035
259	1417	4034
260	1423	4030
261	1432	4035
262	1438	4030
263	1444	4025
264	1449	4020
265	1455	4015
266	1461	4011
267	1467	4007
268	1472	4001
269	1478	3996
270	1483	3991
271	1489	3985
272	1494	3980
273	1500	3975
274	1505	3969
275	1511	3964
276	1516	3959
277	1522	3953
278	1527	3948
279	1533	3942
280	1538	3937
281	1544	3931
282	1549	3925
283	1554	3919
284	1558	3910
285	1564	3905
286	1569	3899
287	1575	3894
288	1580	3888
289	1585	3882
290	1591	3877
291	1597	3873
292	1603	3869
293	1608	3863
294	1614	3858
295	1620	3853
296	1625	3846
297	1630	3840
298	1636	3837
299	1642	3832
300	1647	3826
301	1653	3822
302	1658	3815
303	1664	3810
304	1670	3806
305	1676	3801
306	1681	3796
307	1688	3792
308	1694	3788
309	1700	3784
310	1705	3778
311	1711	3773
312	1717	3769
313	1722	3763
314	1728	3758
315	1732	3750
316	1738	3745
317	1743	3740
318	1749	3735
319	1755	3729
320	1760	3723
321	1766	3719
322	1771	3713
323	1777	3709
324	1784	3705
325	1789	3700
326	1795	3695
327	1801	3690
328	1807	3686
329	1813	3682
330	1817	3674
331	1823	3668
332	1829	3664
333	1834	3658
334	1840	3653
335	1846	3648
336	1852	3643
337	1858	3640
338	1865	3636
339	1870	3631
340	1874	3623
341	1880	3617
342	1886	3613
343	1892	3609
344	1898	3604
345	1906	3603
346	1911	3597
347	1914	3587
348	1922	3586
349	1928	3581
350	1934	3576
351	1940	3571
352	1945	3566
353	1951	3561
354	1957	3556
355	1962	3550
356	1968	3544
357	1974	3540
358	1979	3534
359	1984	3528
360	1991	3524
361	1996	3518
362	2002	3513
363	2006	3506
364	2012	3501
365	2017	3494
366	2023	3489
367	2028	3483
368	2033	3477
369	2039	3472
370	2044	3466
371	2049	3460
372	2055	3455
373	2061	3449
374	2066	3444
375	2072	3439
376	2078	3434
377	2084	3429
378	2089	3424
379	2095	3418
380	2101	3414
381	2108	3410
382	2114	3405
383	2119	3400
384	2124	3394
385	2130	3388
386	2135	3382
387	2140	3376
388	2146	3371
389	2151	3365
390	2157	3360
391	2163	3355
392	2168	3349
393	2174	3344
394	2179	3338
395	2185	3333
396	2190	3327
397	2195	3320
398	2200	3314
399	2205	3308
400	2211	3303
401	2217	3298
402	2223	3293
403	2229	3288
404	2234	3283
405	2240	3277
406	2245	3272
407	2251	3267
408	2257	3261
409	2262	3256
410	2268	3251
411	2274	3246
412	2280	3241
413	2285	3235
414	2293	3232
