Age,Income,City,Marital_Status,Score,Purchased
56,24000,Houston,Divorced,0.4798970815920732,0
46,90588,Chicago,Single,0.6859677359829841,1
32,113610,Houston,Divorced,0.0173797901854796,0
60,117856,New York,Married,0.3231306570702785,0
25,58304,Houston,Single,0.9730977480703464,0
38,89449,New York,Divorced,0.580112229695468,1
56,102986,Houston,Single,0.2542245798974932,0
36,109643,New York,Married,0.5217300466362131,1
40,40764,Los Angeles,Married,0.3426534881209153,0
28,106027,Phoenix,Divorced,0.5322449888262991,1
28,58494,Chicago,Married,0.1257415118066488,0
41,23373,Houston,Single,0.1327146538192773,1
53,32161,Phoenix,Married,0.1435423620393928,1
57,117532,Chicago,Single,0.9398197919268416,0
41,112658,Chicago,Single,0.7328989183413418,1
20,47350,New York,Married,0.1623818946623209,1
39,113008,Los Angeles,Divorced,0.1883490837656014,1
19,114297,Los Angeles,Married,0.7308294748708763,1
41,45351,Phoenix,Single,0.1561638447921739,1
61,108668,Los Angeles,Single,0.2345612933348286,1
47,35305,Houston,Married,0.963346832820399,1
55,95353,Los Angeles,Divorced,0.2553065247284318,1
19,96797,Phoenix,Divorced,0.6616323503711468,0
38,85953,Los Angeles,Single,0.9786312874005304,0
50,77458,Houston,Single,0.3742967671397926,1
29,40358,New York,Divorced,0.0175159908620622,1
39,23267,Phoenix,Married,0.2441472904223742,0
61,102745,New York,Single,0.8308771913417055,0
42,109588,New York,Single,0.8646088359550367,0
44,58513,New York,Divorced,0.7685193645237912,1
59,46092,Chicago,Married,0.113109819076573,0
45,31338,Chicago,Divorced,0.7955103716964032,1
33,20412,New York,Married,0.9186777969935044,1
32,27543,Phoenix,Married,0.6006095425462361,0
64,53496,Houston,Married,0.9408753563380648,1
61,80692,Houston,Single,0.8268388837118774,1
20,109084,Los Angeles,Divorced,0.6669715169909073,1
54,112920,Phoenix,Divorced,0.5771852367117482,1
24,64425,Chicago,Married,0.3485736672419705,0
38,58756,New York,Single,0.1592874452428051,0
26,38888,Los Angeles,Single,0.6049539226905408,1
56,55735,Houston,Divorced,0.3181115536181195,1
35,67295,Chicago,Single,0.8664386675276454,0
21,103042,Chicago,Single,0.9933369373586284,1
42,105999,New York,Married,0.7524277626155725,0
31,37955,Houston,Single,0.0904816952870507,1
26,57841,Phoenix,Married,0.2886855955306381,1
43,90640,Chicago,Divorced,0.1091096317657497,0
19,85510,New York,Single,0.6505116477917158,0
37,54911,Phoenix,Divorced,0.7651908645557847,0
45,79031,Houston,Divorced,0.9256748308807118,0
64,108726,Chicago,Single,0.4381723464119876,1
24,27357,Phoenix,Single,0.9013756495884444,0
61,52479,Phoenix,Divorced,0.8778911590413275,1
25,81476,Phoenix,Single,0.3171957167653986,0
64,64811,Chicago,Married,0.868900625540571,0
52,56208,Chicago,Married,0.3756722518817265,1
31,40150,Los Angeles,Single,0.2968692745602808,0
34,91180,Houston,Divorced,0.6490746587943931,0
53,63286,New York,Single,0.328381227885081,0
