Date,Product_ID,Product_Category,Region,Units_Sold,Revenue,Marketing_Spend,Holiday_Indicator,Temperature,Fuel_Price,Consumer_Confidence,Season,Forecast_Demand
0,151,4,0,41.0,1350.547196549633,8329.692645436488,0,25.802047658587213,1.639940926973576,61.64939628980187,3,219.78
1,192,4,3,40.0,4876.262657653503,1265.5437327924342,0,23.21942672846733,1.5373210445175394,107.18157402520109,3,101.53
2,114,1,2,44.0,7581.268017584357,2713.123263641005,0,28.99695302726465,1.2657111189080708,112.2501041211482,3,121.32
3,171,3,2,23.0,4550.80676903913,3531.8168204550234,0,26.62070551175515,1.177090330389526,91.0483547865485,3,125.91
4,160,0,1,54.0,7871.611835911968,9327.608513290796,0,11.844271373419849,1.8536439732503456,89.22160437517948,3,264.6
5,120,3,2,70.0,6187.186993398209,8166.870607335991,0,15.414761407945475,1.6186863723779714,85.63621975575279,3,252.84
6,182,3,1,43.0,4047.520488612726,8957.305778763859,0,10.406994367690412,1.6589381806035683,103.13008812010028,3,236.09
7,186,3,0,40.0,3332.1119821479,4964.312324595587,0,13.24488518494254,1.5423267103146707,72.92721980105766,3,154.96
8,174,1,3,88.0,11321.23150094214,8403.058821487779,1,31.895489793327528,0.890276660281549,106.4360655902306,3,273.54
9,174,1,2,30.0,4592.791161878556,8681.442146620737,0,10.141334854160482,0.8711149840390973,77.54059549716622,3,225.32
10,187,0,3,18.0,3015.0749060281364,4599.611414874997,0,19.13216543823301,1.3150058220883358,75.68983311468193,3,136.33
11,199,3,3,37.0,3514.5101104899245,9950.156629698276,0,23.47964213135815,1.9165999484669471,108.5507656586268,3,281.77
12,123,1,0,30.0,4470.225912198812,8661.147662942823,0,38.13436747296375,1.429649694678286,70.46254166387529,3,236.19
13,102,0,0,69.0,12759.484593009822,9766.872718703098,0,19.81021053369749,1.8510614157121128,111.75114545129289,3,282.4
14,121,0,2,55.0,10216.165465061984,8798.47397780649,0,33.49392289324922,0.9158598104432673,118.67194337472772,3,271.25
15,152,3,0,59.0,8656.788008829504,7985.832762300472,0,22.26296738657785,1.6691132899215957,79.19242051255324,3,241.26
16,101,2,3,87.0,11713.888339444316,9494.594861180913,0,12.954741402442403,1.0944054259529734,115.6724233759848,3,292.46
17,187,3,1,51.0,5899.409373319562,4778.373201261311,0,12.965312439907876,1.4293953917628994,93.98488180851687,3,180.89
18,129,2,1,82.0,4343.997582368218,8050.000901471763,0,22.973014599475533,1.151505284424891,75.56032091247157,3,249.34
19,137,0,1,97.0,4098.573734490607,2916.020853244986,0,11.736493945485424,1.6548000320024894,87.15802387009256,3,157.36
20,101,1,2,59.0,6338.250892103219,7595.144692489693,1,27.14857723783884,1.2810668633246314,108.0032702313498,3,262.72
21,163,4,0,83.0,4042.095693739442,8068.179547471535,0,24.80949206100635,1.3546021909995123,99.99823294555,3,245.36
22,159,0,0,65.0,8050.899130331231,7448.719688952308,0,31.076055570885355,1.094414447817835,89.68694547175133,3,234.22
23,120,1,0,89.0,12124.157739425516,8648.317588214455,0,15.568645882294868,1.137749618367673,75.43899354328637,3,255.63
24,132,0,0,40.0,4584.432302144293,4720.019021646451,0,27.787877611805065,1.0153708288512022,103.5476599793159,3,170.46
25,175,3,3,39.0,1035.7155218385478,5902.913188679423,0,15.23567429036362,1.464558256841821,78.79907186573713,3,176.8
26,157,2,1,65.0,1975.4171179872865,1096.006696257439,0,31.66701140417948,0.9739963472377352,79.8569273916936,3,103.73
27,121,0,3,56.0,2262.4791415893737,2314.478467054216,0,19.2147597474912,1.1218431340068349,104.81293265287516,3,144.21
28,188,1,2,64.0,3049.999673465665,6797.745330650395,0,28.43248608097144,1.4365536255777038,93.5059829283239,3,222.38
29,148,3,1,71.0,14070.699803972078,6060.854796805405,0,36.4803178020837,1.1297975588931033,71.15001160300633,3,209.4
30,190,4,1,90.0,7380.819273182584,2775.992621872636,0,24.64702378544872,1.506199591681194,101.22670720214072,3,149.9
31,158,3,3,69.0,5006.309300624775,3191.183147442534,0,15.768763297877795,0.816996805349835,75.48314791126845,3,157.3
32,141,2,2,61.0,1793.8876595932352,4096.739817311122,0,36.58368702759781,1.967867345239933,105.62950077780933,3,161.22
33,191,3,2,71.0,9539.394592961924,7447.732416491583,0,20.757386506949608,1.6759866276565285,88.72301345384125,3,223.38
34,159,4,1,64.0,8793.237844712354,6487.449423969709,0,31.907586260413005,1.404582954256574,95.69911735120482,3,213.25
35,179,1,0,61.0,3146.4266115737382,1626.1413775776082,0,19.602870355876107,1.905005503861158,96.0586019746668,3,112.71
36,114,0,2,48.0,8902.246913588657,7839.452341111245,0,18.9464632795263,1.843719297133973,68.80863020020892,3,204.17
37,161,2,3,83.0,13619.373586131202,3363.936067198266,0,29.26084777941268,1.2398651839381245,99.0285271467425,3,155.31
38,161,4,2,71.0,4363.480868799953,7045.837105639782,0,14.689343056179034,0.939355014019388,112.0276393129592,3,203.59
39,146,2,1,102.0,10960.201059627629,2110.265601953954,0,36.00921612543749,1.1026788704921098,113.47212091189957,3,146.63
40,161,3,0,55.0,5638.069476368614,9981.291490472511,0,21.62871959877558,1.0504271233569626,101.31314521204226,3,276.68
41,150,2,2,73.0,6039.558638658095,1723.016536189427,0,10.578323079055012,1.7000689226506092,118.13856567161476,3,152.23
42,154,4,1,121.0,20228.084045341857,7675.606255608956,0,19.16309420831702,1.4577318710156075,95.89656992868882,3,281.19
43,163,0,2,67.0,2657.7296965910814,5871.9732332778585,0,33.54898973798506,1.8201178197900325,75.29238970788299,3,198.52
44,102,0,0,82.0,7770.03817985822,1773.4527215572448,1,35.78076566004357,1.38764090055701,99.61036816471504,3,176.13
45,150,2,3,63.0,6113.873020428121,1241.2941179567997,0,27.03640830845133,1.72371806589364,114.55056462492767,3,101.98
46,106,1,1,61.0,6366.607138663693,4263.991457650108,0,18.82327954127633,1.1881074051125688,81.5311230418306,3,161.97
47,120,2,1,119.0,20830.116809332627,8220.015388064296,0,25.835623110748443,1.5225809636208845,75.89093502507927,3,294.1
48,172,3,0,92.0,5452.843370536861,1370.3611625325325,0,35.091258958950704,1.5672802195115616,117.99025765769876,3,136.53
49,138,0,1,92.0,3544.4077533632367,7339.587969952487,1,19.48113489184758,1.7111445092020932,105.99295636087848,3,266.71
50,117,0,0,56.0,7347.509305236768,6898.386486378148,0,21.56310920787969,1.759386080502905,62.98669382263834,3,211.23
51,103,0,1,98.0,5026.440138612752,3389.839090954905,0,26.19082398970133,1.1318036507658522,93.67097154165944,3,167.87
52,188,1,0,115.0,3851.0941771906287,1697.4283216140125,0,36.61414587011984,1.2620696018186677,74.06585572280889,3,152.57
53,159,1,2,115.0,11131.638865820809,9237.89764498656,0,27.46446801494395,1.04856210902563,77.20898534486638,3,300.68
54,113,4,2,106.0,6310.853900773329,3703.1482246305154,0,16.228454661599596,1.6974012446188564,65.25520453189617,3,168.39
55,108,2,2,70.0,5951.329397736594,2002.44908608085,0,12.6731211394423,1.1248739163838883,73.85974016776277,3,128.78
56,189,2,1,100.0,6674.799441844235,7133.6537052482445,1,12.850418707835976,1.2692230421387962,90.31361779269504,3,265.47
57,152,3,0,107.0,3924.1782720529873,2950.131059124652,1,38.50748721359942,1.7636317706795852,64.7138055487195,3,176.89
58,101,0,0,59.0,7130.88729505502,5280.676800063669,0,34.672374259346626,1.207763168484325,113.38162468039444,3,203.56
59,183,1,3,73.0,1815.0220130388416,1453.6498981242976,0,32.9756407037677,1.1498003710013156,106.52417882149128,3,122.24
60,191,3,2,113.0,21916.074578206088,9936.855540172945,0,24.8909373751014,1.5814177196510792,82.88288519161863,1,323.08
61,159,3,3,114.0,9284.102306001509,5028.590140979431,0,30.17618851832762,1.9704483029330688,67.81365563589738,1,203.58
62,170,1,2,66.0,9578.471224618868,9991.98983178581,0,13.81990913627422,0.8751487629379184,119.6383804921496,1,302.16
63,143,2,3,113.0,18742.78082761513,4471.073892406597,0,28.626871470398395,1.8017460854965173,93.79840049592312,1,190.96
64,107,0,2,99.0,6953.647456514873,4130.673003479975,0,34.32342197736339,0.945925801111869,85.37851595188619,1,178.26
65,146,2,0,114.0,17644.1183109386,9231.150954403662,0,11.864162207087553,1.2138777407098986,71.91835302181632,1,290.61
66,134,3,2,86.0,14605.874841974504,3965.192684600393,0,18.884512669278315,1.30006151915951,72.19299556965439,1,175.69
67,177,0,1,112.0,7104.955433642129,4888.049925846437,0,13.308360200887847,1.6624872321271842,107.77254950430968,1,232.98
68,180,4,2,116.0,23043.28885359,1702.9939304274176,0,17.80681108204172,1.9118791170205085,91.19287040979717,1,138.65
69,135,3,2,92.0,2182.604587865,9599.16149231928,0,33.17571615701816,0.9224131523388338,119.0401176514861,1,298.44
70,149,2,0,100.0,5906.008644239739,1766.36116765812,0,19.9614749886392,1.6937701425418972,117.18586369917789,1,141.62
71,103,2,1,87.0,13955.125043297709,7940.664401817917,0,30.690515436638552,1.18675087452948,72.40966815486178,1,252.15
72,101,2,0,134.0,7362.440324344759,5847.538544300593,0,33.199075628347444,1.8822931948302908,119.9625212895352,1,271.47
73,105,1,3,98.0,14277.303988721482,1552.6462964278126,0,34.499160720171005,1.133860184353066,119.19569037868489,1,147.87
74,153,3,3,83.0,14441.62425044458,1015.3344523695056,0,36.201263302250574,1.632634339575096,107.95677288689048,1,124.67
